RACE,DISTANCE,SURFACE,Angles,PROGRAM,PP,Solley4,Top2,HORSE_NAME,AXCIS_ODDS,,,POWER,HI_SPD_SD,Avg Sd,SPEED_L3,CL,PACER,PACER_ALL,DAYS,WODAYSAGO,LAST_WORK,L2Y_S123,R1,R2,LT_MUD,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,TRAINNAME,TRAINNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME
2,4.5,D,yRlBh1lAcRlFb, 4,25,40,3,MARY'S LISTED NEXT,15/1,,,39.6, 51, 44 44, 43  48  32,, 6.3       6.3  4, 6.3       6.3  4, 62,  4  89  95, 3D(FT)CT : 39.8B,4-0-0-0, 62 4.5D 66/ 43: 4-6.5,146 4.5D 65/ 48: 4-6.8,  7- 1- 1- 1,"RIVERA, JAVIER","OBEDLETTS, KET"
3,7,D,yRlWu1lJtAcRlXm, 8,107,750,12,JAYJAYDEE, 9/5,1,,82.5, 86, 83 86, 87  84  94,, 2.8  2.9  2.9  1, 2.6  2.7  2.9 10, 46,  5  14  32, 3D(FT)PEN: 35.6B,18-8-5-1, 46 8.5D 91/ 87: 1-6.0, 61 8.5D 91/ 84: 2-4.3,  7- 5- 1- 0,"BOCACHICA, ARN","KREISER, TIMOT"
3,7,D,Rl1lAcRlXm, 1,70,160,8,BUTTONED UP, 5/1,8,,84.1, 90, 72 82, 63  72  90,, 1.1  1.5  3.0  3, 2.9  3.5  4.5 10, 97, 35  60  74, 4D(FT)CT : 47.8B,13-3-3-0, 97 4.5D 86/ 63: 7-5.0,133 6.5D 87/ 72: 6-9.4,  4- 1- 1- 0,"HIRALDO, CHRIS","CASH, NORMAN"
3,7,D,yRlGlBh1lAcRlFb, 7,66,340,5,RIDICULOUS, 9/2,3,,76.8, 85, 77 78, 84  83  85,, 5.2  4.4  2.7  8, 5.9  5.6  4.1 10, 11, 16 182 198, 3D(FT)CT : 36.2B,20-5-3-3, 11  7 D 88/ 84: 2-0.8, 74  7 D 91/ 83: 1-1.8,  6- 1- 1- 2,"PELTROCHE, FRE","ARIAS, ALFONSO"
3,7,D,yRl1lJtM2AcRlFb, 4,51,250,2,ANTIPOISON, 4/1,4,,82.4, 85, 71 75, 83   0   -,, 6.1  5.6  4.4 10, 5.3  5.1  5.0 10, 11, 18  52  59, 5D(FT)LRL:102.0B,29-6-4-3, 11  7 D 85/ 83: 1-3.3, 37 8.5D 89/  0: 7- 70,  8- 1- 1- 1,"LOPEZ, CARLOS",SANCHEZSALOMON
3,7,D,yRlWo1lAcRlXmFb, 2,47,240,3,IMPROBABLE STORY,10/1L,7,,73.9, 85, 73 71,  2  76  78,, 5.9  7.1  6.4  3, 3.7  3.7  5.2 10, 40,  4  11  88, 5D(GD)CDT:104.2B,20-3-4-2, 40  9 D 97/  2: 6- 64, 62  6 D 97/ 76: 6-7.5,  7- 2- 4- 0,"CONCEPCION, AX","KING, BARRY"
3,7,D,yRlGlC41lJtAcRlFb, 6,33,80,2,HAGLER, 6/1,15,,82.2, 70, 66 67, 83  86  89,, 4.5  5.0  6.5  4, 6.0  6.8  5.5 10, 11, 41  82 115, 4D(FT)TTC: 48.2B,17-1-2-0, 11 5.5D 93/ 83: 4-2.8, 21  6 D 96/ 86: 2-2.0,  5- 0- 0- 0,"ORTIZ, YOMAR","CASH, NORMAN"
3,7,D,yRlC41lM2AcRlFb, 5,4,180,2,DR. RUSTY RAYMOND,12/1,,,71.1, NA, 69 NA, 78  63  77,,, 7.7  6.8  5.7 10, 32, 41 213 298, 4D(FT)LRL: 49.4B,10-1-1-0, 32  6 D 77/ 78: 1-6.3, 96 5.5D 87/ 63: 5-3.4,  8- 0- 1- 2,"CRUZ, ANGEL","PICKETT, CRYST"
4,4.5,D,Rl1lAcRlXm, 5,133.5,280,11,GOLD FIBER, 5/2,,,54, 64, 61 61, 57  64,, 4.5       1.8  2, 4.5       1.8  2,200,  8  25  40, 4D(FT)CT : 50.0B,2-0-2-0,200 4.5D 69/ 57: 2-1.3,221 4.5D 61/ 64: 2-2.8,  1- 0- 1- 0,"LATCHMAN, RESH","MCKEE, CYNTHIA"
4,4.5,D,Rl1lAcRl, 7,100,370,7,CUPID'S SONG, 3/1,,,51, 53, 53 53, 53,, 1.8       1.8  1, 1.8       1.8  1,180,  8  19  28, 3D(FT)CT : 39.4B,1-0-1-0,180 4.5D 63/ 53: 2-1.3,,  0- 0- 0- 0,"CECIL, KIM","MCKEE, CYNTHIA"
